id,cover,genres,name,platforms,summary,url,first_release_date,involved_companies
242136,"{'id': 292761, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co69w9.jpg'}","[{'id': 31, 'name': 'Adventure'}]",The Legend of Zelda Randomizer,"[{'id': 18, 'name': 'Nintendo Entertainment System'}]","Have you ever wanted to replay the Legend of Zelda, but played it so often that you can't get it out of your head? Similar to many other randomizers out there, this can shuffle the game as you like to allow you to re-experience Zelda each time that you play it.",https://www.igdb.com/games/the-legend-of-zelda-randomizer,1426291200.0,
135416,"{'id': 107822, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co2b72.jpg'}","[{'id': 31, 'name': 'Adventure'}]",Furiko,"[{'id': 48, 'name': 'PlayStation 4'}]","""Furiko"" fly around the game world with one button operation, defeat the enemy,
It is an action-adventure game that aims to reach the goal by passing through traps.",https://www.igdb.com/games/furiko,,"[{'id': 102835, 'company': {'id': 26617, 'name': 'TO-CO'}}]"
135241,"{'id': 164600, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co3j08.jpg'}","[{'id': 8, 'name': 'Platform'}]",Cuckoo Castle,"[{'id': 82, 'name': 'Web browser'}, {'id': 3, 'name': 'Linux'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 14, 'name': 'Mac'}]","Cuckoo Castle is a mini-metroidvania made for the 4th edition of the#gbjam . In Cuckoo Castle you take control of a lonely knight seeking to defeat the evil force that resides in the Cuckoo Castle, an enormous castle that appeared out of nowhere.

Rescue new heroes and battle your way to the highest tower of the Castle.",https://www.igdb.com/games/cuckoo-castle,1439942400.0,
63688,,,Drop Point: Alaska,,,https://www.igdb.com/games/drop-point-alaska,,
300700,"{'id': 382457, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co873t.jpg'}","[{'id': 35, 'name': 'Card & Board Game'}]",Connect the World,"[{'id': 82, 'name': 'Web browser'}]",,https://www.igdb.com/games/connect-the-world,,"[{'id': 266421, 'company': {'id': 31215, 'name': 'PBS Kids'}}]"
153329,"{'id': 195631, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co46y7.jpg'}","[{'id': 15, 'name': 'Strategy'}, {'id': 31, 'name': 'Adventure'}, {'id': 32, 'name': 'Indie'}]",Mess Adventures,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 14, 'name': 'Mac'}]","An abnormal adventure game in nonsensical style. It contains a variety of game elements (even fighting battles, tank battles, puzzles,sokobans, flying shooting, etc.). It is very suitable to recommend it to friends who you want to prank them, live broadcast, or entertain yourself.",https://www.igdb.com/games/mess-adventures,1601424000.0,
186386,"{'id': 201614, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co4bke.jpg'}","[{'id': 15, 'name': 'Strategy'}, {'id': 16, 'name': 'Turn-based strategy (TBS)'}, {'id': 24, 'name': 'Tactical'}]",Punk Wars: Hold the Line,,,https://www.igdb.com/games/punk-wars-hold-the-line,,
344912,"{'id': 459505, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co9uk1.jpg'}","[{'id': 2, 'name': 'Point-and-click'}, {'id': 9, 'name': 'Puzzle'}, {'id': 31, 'name': 'Adventure'}, {'id': 32, 'name': 'Indie'}]",Antioma,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","Antioma is a touching adventure game about a kid, who spent almost his whole life in the hospital.

Dive into a touching story

The little boy Kiddo has spent most of his life in the hospital. Little does he know what a complicated and fascinating world lies concealed beyond the hospital walls.

Today, on Kiddo's birthday, his mom wasn't around. Instead of her, the boy met Shadow, who inspired him to escape from a hospital and search for his mom.

Solve puzzles, hide and run from enemies, make friends, and help the boy get home.

Real adventures lie in wait for Kiddo! Now his fate is in your hands…",https://www.igdb.com/games/antioma,1757462400.0,"[{'id': 322044, 'company': {'id': 64019, 'name': 'West East Studio'}}]"
284194,"{'id': 358376, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co7oiw.jpg'}","[{'id': 5, 'name': 'Shooter'}, {'id': 13, 'name': 'Simulator'}]",Zombie Sniper Shooting 3D,"[{'id': 34, 'name': 'Android'}]","Feel like a real sniper! A zombie group has occupied city. Attack the zombies to save the civilians!
Turn your android phone into a battle field and snipe all your enemies.",https://www.igdb.com/games/zombie-sniper-shooting-3d,1399852800.0,"[{'id': 251017, 'company': {'id': 52561, 'name': 'Fantasy Games'}}]"
372702,"{'id': 497287, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/coanpj.jpg'}",,Shadow of the Yokai,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","Unleash carnage in 'Shadow of the Yokai'! Hack through hordes of blood-thirsty beasts in procedurally-generated levels. Utilize an assortment of weapons and abilities, leaving a trail of blood-soaked bodies in your wake. Will you slay the Daimyo, or will the Yokai's curse live on?!",https://www.igdb.com/games/shadow-of-the-yokai,,
